Species	Size	Plant	Origin	Seed	Sugar_content
apple	5-10cm	tree	temperate	pip	0.1039
apricot	3-5cm	tree	temperate	pit	0.0924
banana	10-20cm	tree	tropical	none	0.1223
currant	0-1cm	shrub	temperate	pip	0.0737
blackberry	1-3cm	shrub	temperate	pip	0.0488
blueberry	0-1cm	forb	temperate	pip	0.1000
cherry	1-3cm	tree	temperate	pit	0.1282
grape	1-3cm	vine	temperate	pip	0.1625
grapefruit	10-20cm	tree	subtropical	pip	0.0731
kiwifruit	5-10cm	vine	temperate	pip	0.0899
lemon	5-10cm	tree	subtropical	pip	0.0250
lime	3-5cm	tree	tropical	pip	0.0169
litchi	1-3cm	tree	tropical	pit	0.1523
mango	10-20cm	tree	tropical	pit	0.1366
melon	10-20cm	forb	temperate	pip	0.0786
orange	5-10cm	tree	subtropical	pip	0.0914
passion_fruit	3-5cm	vine	tropical	pip	0.1120
peach	5-10cm	tree	temperate	pit	0.0839
pear	5-10cm	tree	temperate	pip	0.0975
pineapple	10-20cm	forb	tropical	none	0.0985
plum	3-5cm	tree	temperate	pit	0.0992
raspberry	1-3cm	shrub	temperate	pip	0.0440
strawberry	1-3cm	forb	temperate	pip	0.0489
tangerine	3-5cm	tree	subtropical	pip	0.1058
water_melon	10-20cm	forb	temperate	pip	0.0812
