,wjm_no,zdz_no,study_no,drainage,lat,long,HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,ORD_STRA,ORD_CLAS,ORD_FLOW
1,3500,1,CB1,Clear,34.39019,-96.49615,70710575,70710472,70814357,6.2,1513.5,19.7,2,5,7
2,3502,3,CB2,Clear,34.38255,-96.42439,70710687,70710287,70814357,2.27,1503,10.2,2,6,7
3,3503,4,CB3,Clear,34.46196,-96.42405,70708876,70709764,70814357,3.52,1504.2,9.4,1,7,7
4,3504,5,CB4,Clear,34.53458,-96.33257,70707195,70708439,70814357,4.67,1507.6,9.1,1,5,7
5,3507,6,CB5,Clear,34.2314,-96.20818,70715875,70713822,70814357,11.82,1469.9,16.3,1,5,7
6,3509,8,CB6,Clear,34.27334,-96.18775,70713823,70714386,70814357,9.72,1467.8,13.8,1,5,7
7,3511,10,CB7,Clear,34.27543,-96.30304,70713527,70713633,70814357,9.15,1477.9,16.1,2,5,7
8,3513,12,CB8,Clear,34.60172,-96.56747,70705158,70704927,70814357,2.51,1532.9,12.4,2,5,7
9,3514,13,CB9,Clear,34.6157,-96.57217,70704668,70704927,70814357,1.74,1532.8,27.2,3,4,6
10,3515,14,CB10,Clear,34.60974,-96.63367,70704926,70704668,70814357,8.77,1534.8,12.8,1,5,7
11,0,45,CB12,Clear,34.05615,-95.92072,70718709,70718504,70814357,9.57,1427.8,14.3,1,5,7
12,0,47,CB13,Clear,34.4262,-96.44225,70710203,70710204,70814357,10.67,1502,16.6,1,6,7
13,0,48,CB14,Clear,34.32896,-96.41936,70712150,70712240,70814357,9.43,1490.1,14.2,1,5,7
14,0,84,CB15,Clear,34.1134,-96.06445,70717648,70716786,70814357,4.75,1455.4,9.4,1,5,7
15,0,85,CB16,Clear,34.09874,-95.97787,70717649,70716556,70814357,6.62,1440.9,11.6,1,5,7
16,0,86,CB17,Clear,34.5455,-96.44302,70706625,70706414,70814357,8.24,1517.1,18.8,2,5,7
17,0,87,CB18,Clear,34.57137,-96.49464,70706751,70706202,70814357,13.2,1522.7,17.4,1,5,7
18,0,88,CB19,Clear,34.69466,-96.54231,70703013,70703454,70814357,3.52,1536.9,11.9,2,5,7
19,0,94,CB20,Clear,34.61094,-96.39483,70705159,70705976,70814357,3.84,1518.1,24.3,2,5,6
20,0,95,CB21,Clear,34.50544,-96.35316,70708439,70708662,70814357,5.97,1501.8,58.2,3,4,6
21,0,96,CB22,Clear,34.37022,-96.31983,70711393,70712050,70814357,3.85,1486.2,73.8,4,4,5
22,0,97,CB23,Clear,34.30959,-96.27913,70712854,70713633,70814357,4.78,1478.1,81.9,4,4,5
23,0,98,CB24,Clear,34.25183,-96.20512,70713735,70713822,70814357,0.77,1469.8,90.2,4,4,5
24,0,99,CB25,Clear,34.08748,-95.83623,70718504,70718908,70814357,8.43,1419.3,140.7,4,4,5
25,0,100,CB26,Clear,34.10006,-95.88593,70717650,70718504,70814357,7.96,1427.8,132.2,4,4,5
26,0,15,MB1,Muddy,34.44079,-96.07372,70709660,70710809,70814357,10.26,1488,52.2,3,4,6
27,0,16,MB2,Muddy,34.48375,-95.98186,70709064,70709661,70814357,7.88,1491.4,19.5,2,5,7
