"","PC1","PC2","PC3"
"ero_kh_uav",-0.0417645532483306,-0.302379400966591,0.131170712253016
"pop_ct_csu",-0.316342853758239,0.303045899063145,0.318732519836934
"pop_ct_usu",-0.0572168463692411,-0.413095813725479,0.106860300801363
"ppd_pk_cav",-0.305146664424371,0.326610080264165,0.371495124300112
"ppd_pk_uav",-0.384833692765299,-0.278485220510989,0.143549901831711
"urb_pc_use",-0.120873474755059,-0.55815950764547,0.10762119493903
"nli_ix_uav",-0.392490956396499,-0.162608647077339,0.0475084876657169
"rdd_mk_cav",-0.299565911411311,0.202850204152958,-0.522845021897776
"rdd_mk_uav",-0.311071800340647,-0.0473719308162361,-0.625843373025729
"hft_ix_c09",-0.359257379185028,0.248698511222038,0.170940013057316
"hft_ix_u09",-0.411663555667449,-0.136479684655969,-0.0553424693657243
