"","PC1","PC2","PC3","PC4","PC5","PC6"
"glc_pc_c02",-0.0608371688430258,0.322187776827176,-0.191835473163544,0.200696048704535,-0.0271691781184325,0.249161463595214
"glc_pc_c06",-0.127579354379599,-0.0368737332741936,0.0680333430058767,0.0552991017817897,0.0575649639029372,0.135358433739204
"glc_pc_c11",0.0468562547360565,-0.047739024098741,-0.0260732950383751,-0.114371312084989,-0.129272119821683,-0.0469863564094312
"glc_pc_c13",0.294952590545386,-0.184089911940579,-0.0939685289253804,-0.0478698680158428,-0.0550640566812379,0.00945125570136535
"glc_pc_c16",0.240427280073486,0.0842040310417291,0.122533065891408,-0.0178619890329589,0.011036483505102,-0.10229603933119
"glc_pc_c22",0.0299374202558659,0.209905342501088,0.140333568725418,-0.00361331426819073,-0.12294555755933,-0.266073825343208
"glc_pc_u01",-0.0536322699031602,0.00111245932199215,-0.0464798199497271,0.0459330472501559,-0.0291448196651208,0.129347039354109
"glc_pc_u02",-0.089547516236489,0.307143622485591,-0.187350601326352,0.20568882186621,-0.0756063708564346,0.265024648332755
"glc_pc_u06",-0.17332017078132,-0.0097961724018687,0.025530653936558,0.0594716706229812,0.0995333054301671,0.129721348202948
"glc_pc_u11",0.0625104834970517,-0.0532424673541361,-0.10672400638992,-0.343186949007261,-0.129947100681119,0.0671878895514871
"glc_pc_u13",0.330607875915613,-0.160624661892971,-0.0855622312281769,-0.0430273235852635,-0.0439096388003408,-0.0284716744355646
"glc_pc_u16",0.297527904612823,0.0940622359708791,0.0880446453316977,-0.0337212733608355,0.0242892809892268,-0.0543395892239631
"glc_pc_u20",-0.072716987914821,0.152526664233439,-0.396476398039135,-0.156444426759639,0.233446423156696,-0.117990845851146
"glc_pc_u22",0.0308205482747431,0.209409871155487,0.174610048757737,0.00579235036834683,-0.146916307325795,-0.248502307933598
"pnv_cl_cmj",0.160518778252911,-0.269973769335933,-0.227360308798338,0.115941848974451,-0.116019063718612,-0.243875386559912
"pnv_pc_c04",-0.196814482351915,-0.0955509617810185,0.323994285071631,-0.168690979761083,0.184683451032895,0.0338796774833247
"pnv_pc_c08",-0.240088802055057,-0.132168025479836,-0.138779313719959,0.121436022078659,-0.0333707333309543,-0.249167487185337
"pnv_pc_u04",-0.223838654158251,-0.118146393494872,0.328200362757889,-0.148474467599456,0.185725704124501,-0.0787884252649195
"pnv_pc_u05",0.016905800684905,0.379085971068315,0.0170775968502712,0.106255611182153,-0.0790371309108012,0.177584237363114
"wet_cl_cmj",0.0572755571893888,0.314035168802482,0.116842401848792,-0.268373564447676,0.138911775403166,-0.143989124704313
"wet_pc_cg2",0.0375077208319117,0.237299622830057,0.150231754141776,-0.0851533017408266,0.0922362144156722,-0.164518954947237
"wet_pc_ug2",0.0622091292996263,0.316757718125791,0.225645147086889,-0.0376975333747701,-0.0826853108067968,-0.150351484739105
"wet_pc_c01",-0.0106490882183949,0.127544091915427,-0.255386758934995,-0.0537208163220012,0.25168967760388,-0.344464673229205
"wet_pc_c02",0.0140528856166537,0.0216545464380941,-0.141244816687428,-0.498274439451809,0.0376972932021199,0.217960634919647
"wet_pc_u01",-0.0599220784252932,0.114741619100475,-0.358068166557827,-0.00377247285210448,0.243743634737934,-0.35203325423736
"wet_pc_u02",0.00234873784616548,0.0304334991392959,-0.112526489283599,-0.511015988069926,0.0758561503886312,0.229383244838437
"crp_pc_cse",0.338942879812163,0.148899892997708,-0.0437014272173482,0.0553487870525543,-0.0169393441710857,0.114059177894412
"pst_pc_cse",0.372668070633103,0.0218427705291853,-0.0496802401517287,-0.0455057303788078,-0.155756917657165,0.0640174575413546
"ire_pc_cse",0.194207541849526,-0.109107715857891,0.0439728117221138,0.150204691217784,0.452006084951436,0.0950339066640065
"ire_pc_use",0.191477061239892,-0.0975923557882612,0.0400904604644634,0.159342069317491,0.444045121757685,0.120200793306211
"pac_pc_cse",-0.0710036475307587,0.1067452387467,-0.107502260955031,0.00937421592154415,0.16511686368461,0.0400391076285667
"pac_pc_use",-0.131916274984413,0.0423427923670245,-0.146654800377369,0.0314166117073763,0.0314429490682421,0.158978987075619
"tbi_cl_cmj",0.218260388490163,0.0893100864759119,0.155548960984653,0.102845265866194,0.375134908321485,0.0852218725481624
