"","Ameiurus_melas","Ameiurus_natalis","Aphredoderus_sayanus","Campostoma_anomalum","Campostoma_spadiceum","Cyprinella_lutrensis","Cyprinella_venusta","Cyprinella_whipplei","Dorosoma_cepedianum","Erimyzon_oblongus","Esox_americanus","Etheostoma_chlorosoma","Etheostoma_gracile","Etheostoma_nigrum","Etheostoma_radiosum","Etheostoma_spectabile","Fundulus_notatus","Fundulus_olivaceus","Gambusia_affinis","Ictalurus_punctatus","Labidesthes_sicculus","Lepomis_cyanellus","Lepomis_gulosus","Lepomis_humilis","Lepomis_macrochirus","Lepomis_megalotis","Lepomis_microlophus","Luxilus_chrysocephalus","Lythrurus_snelsoni","Lythrurus_umbratilis","Micropterus_punctulatus","Micropterus_salmoides","Minytrema_melanops","Moxostoma_duquesnei","Moxostoma_erythrurum","Notemigonus_crysoleucas","Notropis_atherinoides","Notropis_atrocaudalis","Notropis_boops","Notropis_buchanani","Notropis_ortenburgeri","Notropis_stramineus","Notropis_suttkusi","Notropis_volucellus","Noturus_exilis","Noturus_gyrinus","Noturus_nocturnus","Percina_caprodes","Percina_copelandi","Percina_phoxocephala","Percina_sciera","Phenacobius_mirabilis","Pimephales_notatus","Pimephales_promelas","Pimephales_vigilax","Pomoxis_annularis","Pomoxis_nigromaculatus","Semotilus_atromaculatus"
"Ameiurus_melas",0,0.217978680701048,0.186115614487049,0.373151184314965,0.412363924699581,0.303988880859564,0.308471792915338,0.358346363960969,0.194029404393,0.242268924898591,0.202745578359414,0.270170553526352,0.251578925585033,0.299868389819656,0.402190647936693,0.376437285558868,0.286183173538397,0.269492373531648,0.290188658443587,0.223521729794367,0.319605264277424,0.16348280050889,0.167949867427214,0.241289167232934,0.163529795131566,0.222620197355063,0.186774811862878,0.280332532291633,0.364118789895857,0.2808495587661,0.181597537582719,0.277898428955523,0.353571605744427,0.295153369033143,0.294066967643761,0.20437772125364,0.298294401644347,0.291290326325468,0.301584602073979,0.267770784926649,0.308724648140606,0.266696260179825,0.324009397698745,0.246052357958347,0.392733349662778,0.127055298195753,0.267206692625532,0.368084093226948,0.321726151247479,0.375865584347038,0.365029289529274,0.335614053695944,0.32258690814536,0.176974862942265,0.231317654590857,0.195659083088944,0.178122968433458,0.263741717986405
"Ameiurus_natalis",0.217978680701048,0,0.23736770301677,0.31521625133539,0.354428991720005,0.318299987280627,0.283774514356452,0.372110623863621,0.293180045538817,0.178136398043697,0.292459205350674,0.360857890352081,0.380727800872301,0.241933456840081,0.454416446300883,0.391962068219103,0.299947433441049,0.321718171895838,0.265491379884701,0.170082255191004,0.217984908795461,0.217531420601116,0.258637204252943,0.257969941900442,0.215755593495757,0.197922918796176,0.239000610227068,0.178103031320807,0.33942151133697,0.297285752290352,0.277242807100756,0.220448746550483,0.214391154108617,0.271413432407924,0.240565194069946,0.26182740365868,0.27882100712631,0.381977663151197,0.353810400438169,0.319996583290839,0.360950446504797,0.324145942584865,0.381459080103785,0.265040501901849,0.411783792576732,0.256933302174234,0.3963555679128,0.38707223717045,0.375165625850842,0.433315266752078,0.417255087893464,0.354419915466642,0.226190436704246,0.272886083808844,0.206620376031971,0.253088828381334,0.232163404575283,0.282729861929907
"Aphredoderus_sayanus",0.186115614487049,0.23736770301677,0,0.429687319736775,0.467397656275237,0.276521055682012,0.317139984416605,0.368665063573792,0.261316979324818,0.295355939831885,0.141111029311666,0.238874802719927,0.258744713240146,0.200154525241466,0.370894897130267,0.350183136620488,0.254887422731971,0.238196622725222,0.181969830714085,0.292065342823159,0.213938386967171,0.142399123617886,0.103300751236173,0.139568414147981,0.14235212899521,0.19669892248739,0.202714637979529,0.368295253568347,0.294361500627893,0.255506820691738,0.165175584853217,0.14830132014691,0.334004573494326,0.354934981578541,0.324086743240562,0.186394625906219,0.313965152450772,0.298456113980581,0.312031468839555,0.274936572581762,0.354351974257258,0.320828549447789,0.378141686966709,0.300184647226311,0.370305341747348,0.138231293652542,0.274672961049876,0.346495228648758,0.256463617329151,0.353074796691925,0.333733538722848,0.351102522329566,0.338257658951785,0.231107152210229,0.315406519169047,0.10584114678272,0.0849157229766679,0.322681699562061
"Campostoma_anomalum",0.373151184314965,0.31521625133539,0.429687319736775,0,0.0392127403846154,0.240841988251452,0.245324900307226,0.21827639442978,0.33460847332335,0.258304420313848,0.373107996851595,0.360869814764395,0.342278186823076,0.349794128581614,0.185197601482427,0.196932067731671,0.338420896314901,0.321730096308151,0.380887919681629,0.288980606417025,0.371842987053928,0.410732542516163,0.453661147896025,0.408911505394053,0.375322806369608,0.313920420131566,0.399228880793227,0.176776681553044,0.262510358826207,0.254216784950588,0.400151366128454,0.381818844039719,0.221915097751699,0.12338838367917,0.203732270751326,0.372091921554059,0.309758601944766,0.305066510640433,0.276899247927406,0.281546969241614,0.168654678609418,0.201237383557167,0.104704367229934,0.295978096720305,0.175740303208512,0.371600713279948,0.319444415402036,0.148779062758137,0.256631838970429,0.233483630801303,0.186497781536546,0.194570374330286,0.180204954599625,0.380746755550377,0.206632300444284,0.487007230646363,0.468269192913954,0.316071302902209
"Campostoma_spadiceum",0.412363924699581,0.354428991720005,0.467397656275237,0.0392127403846154,0,0.278552324789914,0.283636198384149,0.217525192506703,0.373821213707966,0.297517160698464,0.41232073723621,0.360118612841318,0.341526984899999,0.387504465120076,0.145984861097812,0.157719327347056,0.337669694391824,0.320978894385075,0.380136717758552,0.32819334680164,0.409553323592389,0.449945282900779,0.492873888280641,0.408160303470976,0.414535546754224,0.353133160516182,0.438441621177843,0.214787498860736,0.26175915690313,0.291927121489049,0.439364106513069,0.421031584424334,0.222666299674776,0.162601124063785,0.242945011135941,0.411304661938675,0.347468938483228,0.304315308717357,0.23768650754279,0.319257305780075,0.167903476686341,0.238947720095629,0.103953165306857,0.333688433258767,0.136527562823897,0.40931104981841,0.318693213478959,0.186789880065829,0.255880637047352,0.232732428878226,0.224208118075008,0.232280710868748,0.217915291138087,0.418457092088838,0.244342636982745,0.526219971030979,0.507481933298569,0.316822504825286
"Cyprinella_lutrensis",0.303988880859564,0.318299987280627,0.276521055682012,0.240841988251452,0.278552324789914,0,0.238256950517312,0.254610799800528,0.225344091851179,0.223900327632016,0.261780827246685,0.196950903436019,0.216820813956238,0.202114482217682,0.216020657047917,0.236758478212089,0.214424088199767,0.197456769814245,0.216969008353254,0.29260657414212,0.254890361022534,0.217429157273751,0.296082761153823,0.216545867472785,0.296128061302187,0.236673094733084,0.242624203885494,0.295016819640443,0.215923482551385,0.0651590853602611,0.24452039905519,0.230082716304333,0.222564559110763,0.243012727016295,0.173702950216777,0.305241602113204,0.240203955580834,0.179609137773596,0.195258817611688,0.19503798975355,0.235504998050273,0.168942352577851,0.226255490096771,0.148298450356373,0.218947838889094,0.253856659586889,0.236198885281061,0.196111435624974,0.143038958920751,0.239830426745063,0.178113802048482,0.161656229305782,0.186972423620309,0.310290666878752,0.273482619885139,0.301611199912781,0.28068577610673,0.249220983461354
"Cyprinella_venusta",0.308471792915338,0.283774514356452,0.317139984416605,0.245324900307226,0.283636198384149,0.238256950517312,0,0.143334563569754,0.229827003906953,0.26483967424849,0.302902456035963,0.272976720158216,0.292542057934005,0.28652527888884,0.255590039209415,0.205784659498632,0.25636313860771,0.234081582845229,0.292507970158216,0.258627947736355,0.336823259407145,0.298835146252602,0.371291156257355,0.299153779528558,0.298788151629926,0.162774672483352,0.275543134898614,0.222694853369567,0.17929891648102,0.188031420492958,0.319181947640311,0.270657498575199,0.301054033324758,0.20903410061053,0.255108939195628,0.309724514168978,0.208028213790454,0.213587764179361,0.240661229302898,0.198333219527151,0.199669552272297,0.176430072325932,0.233743209844852,0.194247708565993,0.263094212483329,0.298603994719585,0.350159331059036,0.239356366911517,0.227449755591909,0.247137858031606,0.214476157232218,0.206704045207709,0.270782258753005,0.39440098278068,0.236553481070342,0.383017188891632,0.36209176508558,0.253703895517128
"Cyprinella_whipplei",0.358346363960969,0.372110623863621,0.368665063573792,0.21827639442978,0.217525192506703,0.254610799800528,0.143334563569754,0,0.279701574952584,0.315443373985334,0.353323873600004,0.334901112642307,0.354771023162526,0.335498407626778,0.197690437821878,0.216296249775031,0.273990655731275,0.295761394186064,0.354919217559542,0.231579441858909,0.385796388145083,0.350657136967171,0.429495330389322,0.348126908266497,0.389618527324444,0.251293064163325,0.336601524824986,0.272268943645966,0.159618579781042,0.237004549230896,0.337524010160212,0.321625762657651,0.314107605464081,0.220447133194622,0.26652197177972,0.398060623676147,0.218539804066854,0.279097808518346,0.213198136034994,0.217116728657988,0.181147514948869,0.148480124140793,0.128870184736637,0.204759298842393,0.196682725836652,0.347577123457524,0.331937251741487,0.21200738026484,0.199499807406771,0.180726371384929,0.160529079414459,0.178754097022571,0.242832310567867,0.40491257305708,0.296048213706812,0.394430221475724,0.411966336131211,0.303578466562758
"Dorosoma_cepedianum",0.194029404393,0.293180045538817,0.261316979324818,0.33460847332335,0.373821213707966,0.225344091851179,0.229827003906953,0.279701574952584,0,0.279008751274821,0.201023866274106,0.306910379902583,0.288318751961264,0.299787217289579,0.362007397389846,0.297792496550483,0.322922999914627,0.26777066144634,0.288466946358279,0.262064440785982,0.317883552192116,0.315607242269736,0.281612770726521,0.278028993609164,0.200269621507797,0.259360023731293,0.18505309977757,0.317072358667863,0.285474000887472,0.202204769757715,0.334773662035873,0.2779796014856,0.31338835519758,0.254970118486297,0.256051166057906,0.204296548723563,0.182828613729655,0.28956861424016,0.299862889988671,0.189125995918264,0.26854139759376,0.22815354918821,0.28546668670713,0.130586570043655,0.353279227807145,0.24071820149506,0.38086959592484,0.329541382235333,0.243081362239094,0.298861334893884,0.286384500520889,0.335350598993064,0.322505735615283,0.253816767335265,0.306519019428626,0.270860447926713,0.291785871732765,0.340583622379405
"Erimyzon_oblongus",0.242268924898591,0.178136398043697,0.295355939831885,0.258304420313848,0.297517160698464,0.223900327632016,0.26483967424849,0.315443373985334,0.279008751274821,0,0.270292577308408,0.264999973321043,0.284869883841262,0.219101470024966,0.358558529269845,0.336023947032031,0.165627977948472,0.2258602548648,0.169633462853662,0.271295576311624,0.161317658917175,0.200054837875582,0.27816390260652,0.240493359174908,0.313890054791368,0.217996463668163,0.183767693196029,0.159652738760804,0.243563594305932,0.200451818055568,0.261613255454333,0.20481919490406,0.198761602462194,0.177884786634679,0.105653880331754,0.315918493766642,0.255989020311195,0.24765820765862,0.22094920232802,0.185677127798262,0.22663099101222,0.262852417308211,0.281704016365593,0.203746976625196,0.317384132928121,0.316379796371777,0.3389591893433,0.325778711893796,0.27541056211265,0.375429725896067,0.321397170862425,0.183097178894955,0.126435372966054,0.250054096993729,0.226147074385548,0.277379072578877,0.256453648772826,0.29835941357633
