"","Ameiurus_melas","Ameiurus_natalis","Aphredoderus_sayanus","Campostoma_plumbeum","Campostoma_spadiceum","Cyprinella_lutrensis","Cyprinella_venusta","Cyprinella_whipplei","Dorosoma_cepedianum","Erimyzon_claviformis","Esox_americanus","Etheostoma_chlorosoma","Etheostoma_gracile","Etheostoma_nigrum","Etheostoma_radiosum","Etheostoma_pulchellum","Fundulus_notatus","Fundulus_olivaceus","Gambusia_affinis","Ictalurus_punctatus","Labidesthes_sicculus","Lepomis_cyanellus","Lepomis_gulosus","Lepomis_humilis","Lepomis_macrochirus","Lepomis_megalotis","Lepomis_microlophus","Luxilus_chrysocephalus","Lythrurus_snelsoni","Lythrurus_umbratilis","Micropterus_punctulatus","Micropterus_salmoides","Minytrema_melanops","Moxostoma_duquesnei","Moxostoma_erythrurum","Notemigonus_crysoleucas","Notropis_atherinoides","Notropis_atrocaudalis","Notropis_boops","Notropis_buchanani","Notropis_ortenburgeri","Notropis_stramineus","Notropis_suttkusi","Notropis_volucellus","Noturus_exilis","Noturus_gyrinus","Noturus_nocturnus","Percina_caprodes","Percina_copelandi","Percina_phoxocephala","Percina_sciera","Phenacobius_mirabilis","Pimephales_notatus","Pimephales_promelas","Pimephales_vigilax","Pomoxis_annularis","Pomoxis_nigromaculatus","Semotilus_atromaculatus"
"CB1",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CB2",0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CB3",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CB4",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CB5",0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"CB6",0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"CB7",0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CB8",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"CB9",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"CB10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
