"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138"
"1",0,-12939.1154278291,-21301.4022561937,-32238.5675223736,-47087.1129356417,-49507.8596961312,-40437.1552285094,56282.61667098,55608.6168051271,62425.057936093,-96176.6566182345,-17162.547619482,-45787.9688502816,-70377.4340957978,-79070.969230853,39601.6071058455,47865.7820661914,59690.1630243094,40748.3809481219,-27675.7807076829,-25134.1846168492,-33704.2322393631,-44123.00452193,-88472.171375536,-82206.7055209437,-166853.177236994,-174966.401735715,-154346.526561853,-169216.869711587,-150130.664114268,-140890.995830589,-118612.255870115,192728.34334107,197729.581678454,206492.044800463,217344.788133501,-114503.451746245,192598.426575,227017.159249756,-148450.056413219,-174606.864507775,-189359.095648069,239627.467116692,237282.202278045,-128288.166022851,-162059.144748305,-105447.271862183,-106167.865531354,-124846.619493977,-132550.740599355,-115240.125586158,-117217.757197536,-130235.886047772,-134300.990001834,230731.344613274,231523.237008833,216579.875812382,201067.727364191,-175181.963739651,-278498.817584609,-276915.222234585,-266801.639547153,-268464.402956347,-270249.250311785,-272345.177436389,-237819.449709885,-238921.352335594,410612.986094306,398331.172926412,-383131.201016734,-329132.788929481,-296228.726818762,-266496.337759097,-208689.851496683,-224634.410719365,-246101.021713048,-265091.643870414,-248568.659982724,-242906.050195362,-242406.050195362,-246582.188858923,-253199.287043419,-248208.45941075,-320026.302859145,-323158.390239919,-332333.034397179,-355090.924103296,-380345.407751085,-379294.528224799,-381052.536701193,-381656.482127951,422717.738123693,-363238.684623391,-358627.303455272,-283386.089189093,-279663.527313383,-672778.421377856,-667028.659032165,-681392.381371022,-694919.544422311,-703874.370146314,-630621.946073222,-630621.946073222,-631197.960335264,-634618.687890852,-633774.150607999,-634639.005807582,-649340.803078518,-566922.794767313,-571023.719751678,-563513.819952273,-545610.58580477,-630190.544681104,-620365.471775856,-621407.962249205,-651787.773577304,-649400.799613303,-653179.366647228,-576268.870164368,-600757.09106359,-631781.362214045,-563719.415228921,-570121.986097748,-542586.074377683,-541977.759429256,-610830.603560697,-606699.632435322,-603753.570368808,-602406.121394325,-615697.809138312,-605489.276545824,-619346.975915873,-603789.847590026,-581211.39339374,-606072.496540715,-549022.531752957,-564948.131997742,-641187.916040848
"2",12939.1154278291,0,11901.8661114622,22839.0313776421,-37687.5767909101,-40108.3235513996,-31037.6190837779,46883.0805262484,46209.0806603956,53025.5217913615,-86777.120473503,7763.01147475044,-36388.4327055501,-60977.8979510663,-69671.4330861215,30202.0709611139,38466.2459214598,50290.6268795779,31348.8448033903,18276.2445629513,-15734.6484721177,-24304.6960946316,-34723.4683771984,-79072.6352308045,-72807.1693762121,-157453.641092262,-165566.865590984,-144946.990417121,-159817.333566856,-140731.127969536,-131491.459685858,-109212.719725383,183328.807196338,188330.045533723,197092.508655731,207945.25198877,-105103.915601513,183198.890430269,217617.623105024,-139050.520268488,-165207.328363044,179959.559503337,230227.930971961,227882.666133314,-118888.629878119,-152659.608603574,-96047.7357174519,-96768.3293866222,-115447.083349245,-123151.204454623,-105840.589441426,-107818.221052804,-120836.34990304,-124901.453857102,221331.808468543,222123.700864101,207180.339667651,191668.191219459,-165782.42759492,-269099.281439878,-267515.686089853,-257402.103402421,-259064.866811616,-260849.714167053,-262945.641291657,-228419.913565153,-229521.816190863,401213.449949574,388931.636781681,373731.664872002,-319733.25278475,-286829.190674031,-257096.801614366,-199290.315351951,-215234.874574633,-236701.485568316,-255692.107725682,-239169.123837993,-233506.51405063,-233006.51405063,-237182.652714192,-243799.750898687,-238808.923266019,-310626.766714414,-313758.854095188,-322933.498252447,-345691.387958565,370945.871606354,369894.992080068,371653.000556462,372256.94598322,413318.201978961,-353839.148478659,-349227.767310541,-273986.553044362,-270263.991168651,-663378.885233125,-657629.122887434,-671992.84522629,-685520.008277579,-694474.834001582,-621222.40992849,-621222.40992849,-621798.424190533,-625219.15174612,-624374.614463268,-625239.46966285,-639941.266933787,-557523.258622581,-561624.183606946,-554114.283807541,-536211.049660038,-620791.008536372,-610965.935631125,-612008.426104474,-642388.237432572,-640001.263468571,-643779.830502496,-566869.334019636,-591357.554918859,-622381.826069314,-554319.879084189,-560722.449953016,-533186.538232951,-532578.223284524,-601431.067415965,-597300.096290591,-594354.034224076,-593006.585249593,-606298.27299358,-596089.740401093,-609947.439771142,-594390.311445294,-571811.857249008,-596672.960395983,-539622.995608225,-555548.59585301,-631788.379896117
"3",21301.4022561937,-11901.8661114622,0,23668.5902768004,-38517.1356900685,-40937.8824505579,-31867.1779829362,47712.6394254067,47038.6395595539,53855.0806905198,-87606.6793726613,14162.5464166672,-37217.9916047084,-61807.4568502246,-70500.9919852798,31031.6298602722,39295.8048206181,51120.1857787362,32178.4037025486,19105.8034621096,-16564.207371276,-25134.2549937899,-35553.0272763567,-79902.1941299628,-73636.7282753704,-158283.19999142,-166396.424490142,-145776.54931628,-160646.892466014,-141560.686868695,-132321.018585016,-110042.278624541,184158.366095497,189159.604432881,197922.06755489,208774.810887928,-105933.474500671,184028.449329427,218447.182004183,-139880.079167646,-166036.887262202,180789.118402495,231057.489871119,228712.225032472,-119718.188777278,-153489.167502732,-96877.2946166102,-97597.8882857805,-116276.642248403,-123980.763353781,-106670.148340585,-108647.779951962,-121665.908802198,-125731.012756261,222161.367367701,222953.25976326,208009.898566809,192497.750118618,-166611.986494078,-269928.840339036,-268345.244989011,-258231.662301579,-259894.425710774,-261679.273066211,-263775.200190815,-229249.472464312,-230351.375090021,402043.008848732,389761.195680839,374561.223771161,-320562.811683908,-287658.749573189,-257926.360513524,-200119.87425111,-216064.433473791,-237531.044467475,-256521.666624841,-239998.682737151,-234336.072949789,-233836.072949789,-238012.21161335,-244629.309797846,-239638.482165177,-311456.325613572,-314588.412994346,-323763.057151606,-346520.946857723,371775.430505512,370724.550979226,372482.55945562,373086.504882378,414147.760878119,-354668.707377817,-350057.326209699,-274816.11194352,-271093.55006781,-664208.444132283,-658458.681786592,-672822.404125449,-686349.567176738,-695304.39290074,-622051.968827649,-622051.968827649,-622627.983089691,-626048.710645278,-625204.173362426,-626069.028562008,-640770.825832945,-558352.817521739,-562453.742506104,-554943.8427067,-537040.608559196,-621620.567435531,-611795.494530283,-612837.985003632,-643217.79633173,-640830.82236773,-644609.389401655,-567698.892918794,-592187.113818017,-623211.384968472,-555149.437983347,-561552.008852175,-534016.09713211,-533407.782183682,-602260.626315124,-598129.655189749,-595183.593123235,-593836.144148751,-607127.831892738,-596919.299300251,-610776.9986703,-595219.870344452,-572641.416148167,-597502.519295141,-540452.554507383,-556378.154752168,-632617.938795275
"4",32238.5675223736,-22839.0313776421,-23668.5902768004,0,-43691.893258204,-46112.6400186935,-37041.9355510718,30373.9444236283,29699.9445577755,36516.3856887413,-92781.4369407969,-25099.7116828471,-42392.749172844,-66982.2144183601,-75675.7495534154,13692.9348584938,21957.1098188397,33781.4907769578,14839.7087007702,-4562.78681469077,-21738.9649394116,-30309.0125619255,-40727.7848444923,-85076.9516980984,-78811.485843506,-163457.957559556,-171571.182058277,-150951.306884415,-165821.65003415,-146735.44443683,-137495.776153152,-115217.036192677,189333.123663632,194334.362001017,203096.825123025,213949.568456063,-111108.232068807,189203.206897563,223621.939572318,-145054.836735781,-171211.644830337,185963.875970631,236232.247439254,233886.982600607,-124892.946345413,-158663.925070868,-102052.052184746,-102772.645853916,-121451.399816539,-129155.520921917,-111844.90590872,-113822.537520098,-126840.666370334,-130905.770324396,227336.124935837,228128.017331395,213184.656134945,197672.507686753,-171786.744062214,-275103.597907172,-273520.002557147,-263406.419869715,-265069.18327891,-266854.030634347,-268949.957758951,-234424.230032447,-235526.132658157,407217.766416868,394935.953248975,379735.981339296,-325737.569252044,-292833.507141325,-263101.11808166,-205294.631819245,-221239.191041927,-242705.80203561,-261696.424192976,-245173.440305287,-239510.830517924,-239010.830517924,-243186.969181485,-249804.067365981,-244813.239733313,-316631.083181707,-319763.170562482,-328937.814719741,-351695.704425859,-376950.188073648,-375899.308547362,377657.317023756,378261.262450514,419322.518446255,-359843.464945953,-355232.083777835,-279990.869511656,-276268.307635945,-669383.201700418,-663633.439354728,-677997.161693584,-691524.324744873,-700479.150468876,-627226.726395784,-627226.726395784,-627802.740657826,-631223.468213414,-630378.930930562,-631243.786130144,-645945.583401081,-563527.575089875,-567628.50007424,-560118.600274835,-542215.366127332,-626795.325003666,-616970.252098419,-618012.742571767,-648392.553899866,-646005.579935865,-649784.14696979,-572873.65048693,-597361.871386153,-628386.142536608,-560324.195551483,-566726.76642031,-539190.854700245,-538582.539751818,-607435.383883259,-603304.412757885,-600358.35069137,-599010.901716887,-612302.589460874,-602094.056868387,-615951.756238436,-600394.627912588,-577816.173716302,-602677.276863277,-545627.312075519,-561552.912320304,-637792.696363411
"5",47087.1129356417,37687.5767909101,38517.1356900685,43691.893258204,0,-7825.67423577099,14914.5921430739,67735.9424068103,67061.9425409575,73878.3836719234,-54494.4711578744,39948.2570961152,29836.5161085797,-28695.2486354376,-37388.7837704928,51054.9328416758,59319.1078020217,71143.4887601398,52201.7066839523,39129.1064435132,21952.9283187925,13382.8806962786,-2964.10841371172,-46789.9859151759,-40524.5200605835,125170.991776633,133284.216275355,112664.341101493,127534.684251227,108448.478653908,-99208.8103702291,-76930.0704097545,151046.15788071,156047.396218094,164809.859340103,175662.602673141,-72821.2662858844,150916.24111464,185334.973789396,106767.870952859,132924.679047415,147676.910187708,197945.281656332,195600.016817685,-86605.9805624907,120376.959287945,-63765.0864018233,-64485.6800709936,-83164.4340336164,-90868.5551389945,-73557.9401257977,-75535.5717371754,-88553.7005874115,-92618.8045414738,189049.159152914,189841.051548473,174897.690352022,159385.541903831,133499.778279291,-236816.632124249,-235233.036774224,-225119.454086793,-226782.217495987,-228567.064851425,-230662.991976028,-196137.264249525,-197239.166875234,368930.800633945,356648.987466052,341449.015556374,-287450.603469121,-254546.541358402,-224814.152298737,-167007.666036323,-182952.225259004,-204418.836252688,-223409.458410054,-206886.474522364,-201223.864735002,-200723.864735002,-204900.003398563,-211517.101583059,-206526.27395039,-278344.117398785,-281476.204779559,-290650.848936819,313408.738642936,338663.222290725,337612.342764439,339370.351240833,339974.296667591,381035.552663332,321556.499163031,316945.117994912,-241703.903728733,-237981.341853023,-631096.235917496,-625346.473571805,-639710.195910662,-653237.358961951,-662192.184685953,-588939.760612862,-588939.760612862,-589515.774874904,-592936.502430492,-592091.965147639,-592956.820347221,-607658.617618158,-525240.609306952,-529341.534291317,-521831.634491913,-503928.400344409,-588508.359220744,-578683.286315496,-579725.776788845,-610105.588116943,-607718.614152943,-611497.181186868,-534586.684704007,-559074.90560323,-590099.176753685,-522037.22976856,-528439.800637388,-500903.888917323,-500295.573968895,-569148.418100337,-565017.446974962,-562071.384908448,-560723.935933964,-574015.623677952,-563807.091085464,-577664.790455513,-562107.662129665,-539529.20793338,-564390.311080354,-507340.346292597,-523265.946537381,-599505.730580488
"6",49507.8596961312,40108.3235513996,40937.8824505579,46112.6400186935,7825.67423577099,0,17335.3389035634,70156.6891672998,69482.689301447,76299.1304324129,-52665.1369508974,42369.0038566046,32257.2628690692,-26865.9144284607,-35559.4495635159,53475.6796021653,61739.8545625112,73564.2355206293,54622.4534444417,41549.8532040027,24373.6750792819,15803.627456768,-5384.85517420119,-44960.6517081989,-38695.1858536066,123341.657569656,131454.882068378,110835.006894516,125705.35004425,106619.144446931,-97379.4761632522,-75100.7362027776,149216.823673733,154218.062011117,162980.525133126,173833.268466164,-70991.9320789074,149086.906907663,183505.639582419,104938.536745882,131095.344840438,145847.575980731,196115.947449355,193770.682610708,-84776.6463555138,118547.625080968,-61935.7521948464,-62656.3458640167,-81335.0998266395,-89039.2209320176,-71728.6059188208,-73706.2375301985,-86724.3663804346,-90789.4703344968,187219.824945937,188011.717341496,173068.356145045,157556.207696854,131670.444072314,-234987.297917272,-233403.702567248,-223290.119879816,-224952.88328901,-226737.730644448,-228833.657769051,-194307.930042548,-195409.832668257,367101.466426968,354819.653259075,339619.681349397,-285621.269262144,-252717.207151425,-222984.81809176,-165178.331829346,-181122.891052028,-202589.502045711,-221580.124203077,-205057.140315387,-199394.530528025,-198894.530528025,-203070.669191586,-209687.767376082,-204696.939743413,-276514.783191808,-279646.870572582,-288821.514729842,311579.404435959,336833.888083748,335783.008557462,337541.017033856,338144.962460614,379206.218456355,319727.164956054,315115.783787935,-239874.569521756,-236152.007646046,-629266.901710519,-623517.139364828,-637880.861703685,-651408.024754974,-660362.850478976,-587110.426405885,-587110.426405885,-587686.440667927,-591107.168223515,-590262.630940662,-591127.486140244,-605829.283411181,-523411.275099976,-527512.20008434,-520002.300284936,-502099.066137432,-586679.025013767,-576853.952108519,-577896.442581868,-608276.253909967,-605889.279945966,-609667.846979891,-532757.350497031,-557245.571396253,-588269.842546708,-520207.895561584,-526610.466430411,-499074.554710346,-498466.239761918,-567319.08389336,-563188.112767985,-560242.050701471,-558894.601726987,-572186.289470975,-561977.756878487,-575835.456248536,-560278.327922689,-537699.873726403,-562560.976873378,-505511.01208562,-521436.612330404,-597676.396373511
"7",40437.1552285094,31037.6190837779,31867.1779829362,37041.9355510718,-14914.5921430739,-17335.3389035634,0,61085.9846996781,60411.9848338252,67228.4259647911,-64004.1358256668,33298.2993889829,23186.5584014475,-38204.9133032301,-46898.4484382853,44404.9751345436,52669.1500948895,64493.5310530076,45551.74897682,32479.148736381,15302.9706116602,-6732.92298914631,-11950.4837293622,-56299.6505829683,-50034.1847283759,134680.656444426,142793.880943147,-122174.005769285,137044.34891902,-117958.1433217,-108718.475038022,-86439.7350775469,160555.822548502,165557.060885887,174319.524007895,185172.267340933,-82330.9309536768,160425.905782433,194844.638457188,-116277.535620651,142434.343715207,157186.574855501,207454.946324124,205109.681485477,-96115.6452302831,129886.623955738,-73274.7510696157,-73995.344738786,-92674.0987014088,-100378.219806787,-83067.6047935901,-85045.2364049678,-98063.3652552039,-102128.469209266,198558.823820707,199350.716216265,184407.355019815,168895.206571623,143009.442947084,-246326.296792042,-244742.701442017,-234629.118754585,-236291.88216378,-238076.729519217,-240172.656643821,-205646.928917317,-206748.831543027,378440.465301738,366158.652133845,350958.680224166,-296960.268136914,-264056.206026194,-234323.81696653,-176517.330704115,-192461.889926797,-213928.50092048,-232919.123077846,-216396.139190157,-210733.529402794,-210233.529402794,-214409.668066355,-221026.766250851,-216035.938618183,-287853.782066577,-290985.869447352,-300160.513604611,322918.403310729,348172.886958517,347122.007432232,348880.015908626,349483.961335383,390545.217331125,331066.163830823,326454.782662705,-251213.568396526,-247491.006520815,-640605.900585288,-634856.138239598,-649219.860578454,-662747.023629743,-671701.849353746,-598449.425280654,-598449.425280654,-599025.439542696,-602446.167098284,-601601.629815432,-602466.485015014,-617168.28228595,-534750.273974745,-538851.19895911,-531341.299159705,-513438.065012202,-598018.023888536,-588192.950983289,-589235.441456637,-619615.252784736,-617228.278820735,-621006.84585466,-544096.3493718,-568584.570271023,-599608.841421477,-531546.894436353,-537949.46530518,-510413.553585115,-509805.238636688,-578658.082768129,-574527.111642755,-571581.04957624,-570233.600601757,-583525.288345744,-573316.755753257,-587174.455123306,-571617.326797458,-549038.872601172,-573899.975748147,-516850.010960389,-532775.611205174,-609015.395248281
"8",-56282.61667098,-46883.0805262484,-47712.6394254067,-30373.9444236283,-67735.9424068103,-70156.6891672998,-61085.9846996781,0,-3149.64391747492,9966.0850484408,-116825.486089403,-49143.7608314534,-66436.7983214503,-91026.2635669665,-99719.7987020217,-20849.6545805284,-16075.1350593124,21577.4064346788,-37681.8692014002,-28606.8359632971,-45783.0140880179,-54353.0617105318,-64771.8339930986,-109121.000846705,-102855.534992112,-187502.006708162,-195615.231206884,-174995.356033021,-189865.699182756,-170779.493585436,-161539.825301758,-139261.085341283,-213377.172812239,-218378.411149623,-227140.874271631,237993.61760467,-135152.281217413,-213247.256046169,247665.988720925,-169098.885884388,-195255.693978944,-210007.925119237,260276.296587861,257931.031749214,-148936.99549402,-182707.974219474,-126096.101333352,-126816.695002522,-145495.448965145,-153199.570070523,-135888.955057327,-137866.586668704,-150884.71551894,-154949.819473003,251380.174084443,252172.066480002,237228.705283551,-221716.55683536,-195830.79321082,-299147.647055778,-297564.051705753,-287450.469018321,-289113.232427516,-290898.079782953,-292994.006907557,-258468.279181054,-259570.181806763,431261.815565474,-418980.002397581,-403780.030487903,-349781.61840065,-316877.556289931,-287145.167230266,-229338.680967851,-245283.240190533,-266749.851184217,-285740.473341583,-269217.489453893,-263554.879666531,-263054.879666531,-267231.018330092,-273848.116514587,-268857.288881919,-340675.132330314,-343807.219711088,-352981.863868348,-375739.753574465,-400994.237222254,-399943.357695968,-401701.366172362,-402305.31159912,443366.567594861,-383887.514094559,-379276.132926441,-304034.918660262,-300312.356784552,-693427.250849025,-687677.488503334,-702041.210842191,-715568.373893479,-724523.199617482,-651270.77554439,-651270.77554439,-651846.789806433,-655267.51736202,-654422.980079168,-655287.83527875,-669989.632549687,-587571.624238481,-591672.549222846,-584162.649423441,-566259.415275938,-650839.374152272,-641014.301247025,-642056.791720374,-672436.603048472,-670049.629084471,-673828.196118397,-596917.699635536,-621405.920534759,-652430.191685214,-584368.244700089,-590770.815568916,-563234.903848852,-562626.588900424,-631479.433031865,-627348.461906491,-624402.399839977,-623054.950865493,-636346.63860948,-626138.106016993,-639995.805387042,-624438.677061194,-601860.222864908,-626721.326011883,-569671.361224125,-585596.96146891,-661836.745512017
"9",-55608.6168051271,-46209.0806603956,-47038.6395595539,-29699.9445577755,-67061.9425409575,-69482.689301447,-60411.9848338252,3149.64391747492,0,6816.44113096588,-116151.48622355,-48469.7609656006,-65762.7984555974,-90352.2637011136,-99045.7988361688,-20175.6547146755,-15401.1351934596,20903.406568826,-37007.8693355474,-27932.8360974443,-45109.014222165,-53679.0618446789,-64097.8341272458,-108447.000980852,-102181.535126259,-186828.006842309,-194941.231341031,-174321.356167169,-189191.699316903,-170105.493719584,-160865.825435905,-138587.08547543,-212703.172946386,-217704.41128377,-226466.874405779,237319.617738817,-134478.28135156,-212573.256180316,246991.988855072,-168424.886018535,-194581.694113091,-209333.925253384,259602.296722008,257257.031883361,-148262.995628167,-182033.974353621,-125422.101467499,-126142.69513667,-144821.449099292,-152525.57020467,-135214.955191474,-137192.586802851,-150210.715653087,-154275.81960715,250706.17421859,251498.066614149,236554.705417698,-221042.556969507,-195156.793344967,-298473.647189925,-296890.0518399,-286776.469152469,-288439.232561663,-290224.079917101,-292320.007041704,-257794.279315201,-258896.18194091,430587.815699621,-418306.002531728,-403106.03062205,-349107.618534797,-316203.556424078,-286471.167364413,-228664.681101999,-244609.24032468,-266075.851318364,-285066.47347573,-268543.48958804,-262880.879800678,-262380.879800678,-266557.018464239,-273174.116648735,-268183.289016066,-340001.132464461,-343133.219845235,-352307.864002495,-375065.753708612,-400320.237356401,-399269.357830115,-401027.366306509,-401631.311733267,442692.567729008,-383213.514228707,-378602.133060588,-303360.918794409,-299638.356918699,-692753.250983172,-687003.488637481,-701367.210976338,-714894.374027627,-723849.199751629,-650596.775678538,-650596.775678538,-651172.78994058,-654593.517496168,-653748.980213315,-654613.835412897,-669315.632683834,-586897.624372628,-590998.549356993,-583488.649557589,-565585.415410085,-650165.37428642,-640340.301381172,-641382.791854521,-671762.60318262,-669375.629218619,-673154.196252544,-596243.699769684,-620731.920668906,-651756.191819361,-583694.244834236,-590096.815703064,-562560.903982999,-561952.589034571,-630805.433166013,-626674.462040638,-623728.399974124,-622380.95099964,-635672.638743627,-625464.10615114,-639321.805521189,-623764.677195341,-601186.222999056,-626047.32614603,-568997.361358273,-584922.961603057,-661162.745646164
"10",-62425.057936093,-53025.5217913615,-53855.0806905198,-36516.3856887413,-73878.3836719234,-76299.1304324128,-67228.4259647911,-9966.0850484408,-6816.44113096588,0,-122967.927354516,-55286.2020965665,-72579.2395865633,-97168.7048320795,-105862.239967135,-26992.0958456414,-22217.5763244255,-27719.8476997918,-43824.3104665132,-34749.2772284101,-51925.4553531309,-60495.5029756448,-70914.2752582117,-115263.442111818,-108997.976257225,-193644.447973275,-201757.672471997,-181137.797298134,-196008.140447869,-176921.934850549,-167682.266566871,-145403.526606396,-219519.614077352,-224520.852414736,-233283.315536744,244136.058869783,-141294.722482526,-219389.697311282,253808.429986038,-175241.327149501,-201398.135244057,-216150.36638435,266418.737852974,264073.473014327,-155079.436759133,-188850.415484587,-132238.542598465,-132959.136267635,-151637.890230258,-159342.011335636,-142031.39632244,-144009.027933817,-157027.156784053,-161092.260738116,257522.615349556,258314.507745115,-243371.146548664,-227858.998100473,-201973.234475933,-305290.088320891,-303706.492970866,-293592.910283434,-295255.673692629,-297040.521048066,-299136.44817267,-264610.720446167,-265712.623071876,-437404.256830587,-425122.443662694,-409922.471753016,-355924.059665763,-323019.997555044,-293287.608495379,-235481.122232964,-251425.681455646,-272892.29244933,-291882.914606696,-275359.930719006,-269697.320931644,-269197.320931644,-273373.459595205,-279990.5577797,-274999.730147032,-346817.573595427,-349949.660976201,-359124.305133461,-381882.194839578,-407136.678487367,-406085.798961081,-407843.807437475,-408447.752864233,449509.008859974,-390029.955359672,-385418.574191554,-310177.359925375,-306454.798049665,-699569.692114138,-693819.929768447,-708183.652107304,-721710.815158592,-730665.640882595,-657413.216809504,-657413.216809504,-657989.231071546,-661409.958627133,-660565.421344281,-661430.276543863,-676132.0738148,-593714.065503594,-597814.990487959,-590305.090688554,-572401.856541051,-656981.815417386,-647156.742512138,-648199.232985487,-678579.044313585,-676192.070349585,-679970.63738351,-603060.140900649,-627548.361799872,-658572.632950327,-590510.685965202,-596913.25683403,-569377.345113965,-568769.030165537,-637621.874296978,-633490.903171604,-630544.84110509,-629197.392130606,-642489.079874593,-632280.547282106,-646138.246652155,-630581.118326307,-608002.664130021,-632863.767276996,-575813.802489238,-591739.402734023,-667979.18677713
